epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4077,3.51775,5.60964,4.27024,0,0,0,0,3.38043,5.97076,4.15872,0,0,0
2,19.0382,3.24727,5.65582,4.17137,0,0,0,0,3.38071,5.97067,4.15877,1.18764e-06,1.18764e-06,1.18764e-06
3,24.1454,3.03916,5.61403,4.265,0,0,0,0,3.38095,5.97066,4.15885,2.37058e-06,2.37058e-06,2.37058e-06
4,29.5514,3.12506,5.68182,4.21633,0,0,0,0,3.38111,5.97063,4.15893,3.54879e-06,3.54879e-06,3.54879e-06
